Angler ID,Station .,Fish ID,Drift ID,Species Code,Fork Length (mm),Total Length (mm),Length (cm)
C339,6,2435,BLM0708251302,GPR,267,,
C340,11,2436,BLM0708251302,VER,484,496,
C341,12,2437,BLM0708251302,GPR,260,,
S255,13,2438,BLM0708251302,OLV,411,426,
C173,2,2439,BLM0708251302,GPR,270,,
C340,11,2440,BLM0708251302,GPR,286,,
S255,13,2441,BLM0708251302,BLU,355,371,
C341,12,2442,BLM0708251302,CPR,419,425,
C340,11,2443,BLM0708251302,GPR,311,,
S255,13,2444,BLM0708251302,VER,287,295,
C339,6,2445,BLM0708251302,GPR,285,,
S038,1,2446,BLM0708251302,GPR,294,,
C340,11,2447,BLM0708251302,CBZ,470,,
S255,13,2448,BLM0708251302,BLU,365,382,
C173,2,2449,BLM0708251302,BLU,270,284,
S255,13,2450,BLM0708251302,BLU,261,271,
A324,7,2451,BLM0708251302,BLU,270,279,
S255,13,2452,BLM0708251302,BLU,280,300,
C243,8,2453,BLM0708251302,BLU,300,316,
C182,3,2454,BLM0708251302,BLU,297,310,
S038,1,2455,BLM0708251302,BLU,341,360,
C339,6,2456,BLM0708251302,BLU,370,385,
C173,2,2457,BLM0708251302,BLU,295,305,
S038,1,2458,BLM0708251302,BLU,342,356,
C243,8,2459,BLM0708251303,GPR,239,,
S038,1,2460,BLM0708251303,CPR,485,,
C340,11,2461,BLM0708251303,CPR,415,,
C339,6,2462,BLM0708251303,VER,444,460,
C243,8,2463,BLM0708251303,GPR,259,,
S038,1,2464,BLM0708251303,LCD,523,,
C341,12,2465,BLM0708251303,VER,485,500,
A324,7,2466,BLM0708251303,BLU,136,142,
C182,3,2467,BLM0708251303,GPR,210,,
C173,2,2468,BLM0708251303,GPR,274,,
C339,6,2469,BLM0708251303,GPR,261,,
S255,13,2470,BLM0708251303,GPR,215,,
C340,11,2471,BLM0708251303,GPR,210,,
C341,12,2472,BLM0708251303,GPR,237,,
C341,12,2473,BLM0708251303,GPR,245,,
S255,13,2474,BLM0708251303,GPR,214,,
C243,8,2475,BLM0708251303,OLV,345,355,
C341,12,2476,BLM0708251303,OLV,400,411,
C243,8,2477,BLM0708251303,BLU,280,292,
C339,6,2478,BLM0708251303,OLV,307,311,
A324,7,2479,BLM0708251303,BLU,299,315,
C340,11,2480,BLM0708251303,OLV,340,352,
C339,6,2481,BLM0708251303,BLU,370,386,
A324,7,2482,BLM0708251303,BLU,230,240,
S038,1,2483,BLM0708251303,LCD,650,,
S255,13,2484,BLM0708251303,CPR,510,,
C243,8,2485,BLM0708251303,BLU,330,350,
C339,6,2486,BLM0708251303,OLV,420,430,
C243,8,2487,BLM0708251303,BLU,207,220,
S038,3,2488,BLM0708251801,BWN,349,,
C341,12,2489,BLM0708251801,VER,394,410,
A324,13,2490,BLM0708251801,VER,249,255,
C173,2,2491,BLM0708251801,VER,366,376,
C182,7,2492,BLM0708251801,BWN,308,311,
S038,3,2493,BLM0708251801,VER,390,410,
C243,8,2494,BLM0708251801,BWN,444,,
C341,12,2495,BLM0708251801,CNY,351,372,
S038,3,2496,BLM0708251801,GPR,279,,
C182,7,2497,BLM0708251801,GPR,256,,
A324,13,2498,BLM0708251801,GPR,310,,
S255,1,2499,BLM0708251801,CPR,420,,
S255,1,2500,BLM0708251801,CPR,329,,
C340,11,2501,BLM0708251801,VER,225,229,
C243,8,2502,BLM0708251801,BLU,345,358,
C341,12,2503,BLM0708251801,BLU,340,360,
C243,8,2504,BLM0708251801,BLU,328,341,
C182,7,2505,BLM0708251801,BLU,340,359,
C340,11,2506,BLM0708251802,GPR,243,,
C243,8,2507,BLM0708251802,GPR,289,,
C243,8,2508,BLM0708251802,GPR,275,,
S038,3,2509,BLM0708251802,GPR,225,,
C340,11,2510,BLM0708251802,GPR,240,,
C182,7,2511,BLM0708251802,GPR,289,,
C339,6,2512,BLM0708251802,BLU,352,368,
C339,6,2513,BLM0708251802,BLU,235,245,
C340,11,2514,BLM0708251802,BLU,244,254,
C182,7,2515,BLM0708251802,GPR,273,,
S255,1,2516,BLM0708251802,CPR,420,,
C340,11,2517,BLM0708251802,GPR,240,,
C243,8,2518,BLM0708251802,GPR,289,,
S038,3,2519,BLM0708251802,VER,460,474,
C182,7,2520,BLM0708251802,GPR,248,,
C173,2,2521,BLM0708251802,BLU,310,330,
C341,12,2522,BLM0708251802,GPR,268,,
